Days until Eday,DEM-IPEV: Total,REP-IPEV: Total,OTH-IPEV: Total,DEM-IPEV: Cumulative %,REP-IPEV: Cumulative %,OTH-IPEV: Cumulative %,DEM-IPEV: Daily Tally,REP-IPEV: Daily Tally,OTH-IPEV: Daily Tally,DEM-IPEV: Daily Tally %,REP-IPEV: Daily Tally %,OTH-IPEV: Daily Tally %,DEM-VBM: Total,REP-VBM: Total,OTH-VBM: Total,DEM-VBM: Cumulative %,REP-VBM: Cumulative %,OTH-VBM: Cumulative %,DEM-VBM: Daily Tally,REP-VBM: Daily Tally,OTH-VBM: Daily Tally,DEM-VBM: Daily Tally %,REP-VBM: Daily Tally %,OTH-VBM: Daily Tally %,DEM-TOT: Total,REP-TOT: Total,OTH-TOT: Total,DEM-TOT: Cumulative %,REP-TOT: Cumulative %,OTH-TOT: Cumulative %,DEM-TOT: Daily Tally,REP-TOT: Daily Tally,OTH-TOT: Daily Tally,DEM-TOT: Daily Tally %,REP-TOT: Daily Tally %,OTH-TOT: Daily Tally %
29,,,,,,,,,,,,,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216
28,,,,,,,,,,,,,5899,6983,2525,38.2877912637113,45.3235542285974,16.3886545076913,986,1170,501,37.1095220173128,44.0346255175009,18.8558524651863,5899,6983,2525,38.2877912637113,45.3235542285974,16.3886545076913,986,1170,501,37.1095220173128,44.0346255175009,18.8558524651863
27,,,,,,,,,,,,,7251,8317,3097,38.8481114385213,44.5593356549692,16.5925529065095,1352,1334,572,41.4978514426028,40.9453652547575,17.5567833026397,7251,8317,3097,38.8481114385213,44.5593356549692,16.5925529065095,1352,1334,572,41.4978514426028,40.9453652547575,17.5567833026397
26,,,,,,,,,,,,,7639,8696,3267,38.9705132129375,44.3628201203959,16.6666666666667,388,379,170,41.4087513340448,40.4482390608324,18.1430096051227,7639,8696,3267,38.9705132129375,44.3628201203959,16.6666666666667,388,379,170,41.4087513340448,40.4482390608324,18.1430096051227
25,,,,,,,,,,,,,9069,10009,3920,39.4338638142447,43.5211757544134,17.0449604313419,1430,1313,653,42.1083627797409,38.6631330977621,19.2285041224971,9069,10009,3920,39.4338638142447,43.5211757544134,17.0449604313419,1430,1313,653,42.1083627797409,38.6631330977621,19.2285041224971
24,,,,,,,,,,,,,10591,11300,4508,40.1189438993901,42.804651691352,17.0764044092579,1522,1291,588,44.7515436636284,37.9594236989121,17.2890326374596,10591,11300,4508,40.1189438993901,42.804651691352,17.0764044092579,1522,1291,588,44.7515436636284,37.9594236989121,17.2890326374596
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,10736,11398,4543,40.244405292949,42.7259436968175,17.0296510102335,145,98,35,52.158273381295,35.2517985611511,12.589928057554,10736,11398,4543,40.244405292949,42.7259436968175,17.0296510102335,145,98,35,52.158273381295,35.2517985611511,12.589928057554
20,,,,,,,,,,,,,11366,11972,4790,40.4081342434585,42.5625711035267,17.0292946530148,630,574,247,43.4183321847002,39.5589248793935,17.0227429359063,11366,11972,4790,40.4081342434585,42.5625711035267,17.0292946530148,630,574,247,43.4183321847002,39.5589248793935,17.0227429359063
