Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"Representative in Congress, District 6",Michael Waltz,REP,300,81,153,426,660,64.90
"Representative in Congress, District 6",Michael Waltz,REP,320,431,1622,1128,3181,67.07
"Representative in Congress, District 6",Michael Waltz,REP,325,238,969,537,1744,62.44
"Representative in Congress, District 6",Michael Waltz,REP,330,290,1137,496,1923,57.89
"Representative in Congress, District 6",Michael Waltz,REP,335,204,914,552,1670,55.93
"Representative in Congress, District 6",Michael Waltz,REP,355,179,871,532,1582,56.28
"Representative in Congress, District 6",Michael Waltz,REP,400,108,170,580,858,76.61
"Representative in Congress, District 6",Michael Waltz,REP,405,102,539,490,1131,79.76
"Representative in Congress, District 6",Michael Waltz,REP,410,124,486,764,1374,74.51
"Representative in Congress, District 6",Michael Waltz,REP,415,188,661,821,1670,75.53
"Representative in Congress, District 6",Michael Waltz,REP,420,65,38,163,266,59.51
"Representative in Congress, District 6",Michael Waltz,REP,425,116,426,397,939,78.84
"Representative in Congress, District 6",Michael Waltz,REP,430,33,46,204,283,60.21
"Representative in Congress, District 6",Michael Waltz,REP,435,361,2216,866,3443,76.24
"Representative in Congress, District 6",Michael Waltz,REP,440,284,1325,769,2378,77.51
"Representative in Congress, District 6",Michael Waltz,REP,445,335,1605,659,2599,65.88
"Representative in Congress, District 6",Michael Waltz,REP,450,179,341,287,807,59.47
"Representative in Congress, District 6",Michael Waltz,REP,455,287,1479,620,2386,69.20
"Representative in Congress, District 6",Michael Waltz,REP,465,166,523,199,888,58.23
"Representative in Congress, District 6",Michael Waltz,REP,470,109,118,119,346,57.00
"Representative in Congress, District 6",Michael Waltz,REP,475,149,348,235,732,63.65
"Representative in Congress, District 6",Michael Waltz,REP,480,-,-,-,233,31.11
"Representative in Congress, District 6",Michael Waltz,REP,485,388,1705,801,2894,56.22
"Representative in Congress, District 6",Michael Waltz,REP,490,83,272,374,729,62.84
"Representative in Congress, District 6",Michael Waltz,REP,500,368,1109,668,2145,63.05
"Representative in Congress, District 6",Michael Waltz,REP,505,357,769,339,1465,65.11
"Representative in Congress, District 6",Michael Waltz,REP,510,89,308,463,860,67.08
"Representative in Congress, District 6",Michael Waltz,REP,515,201,902,445,1548,69.42
"Representative in Congress, District 6",Michael Waltz,REP,520,255,940,631,1826,74.65
"Representative in Congress, District 6",Michael Waltz,REP,525,163,719,328,1210,59.58
"Representative in Congress, District 6",James David Stockton III,DEM,300,79,72,165,316,31.07
"Representative in Congress, District 6",James David Stockton III,DEM,320,434,551,360,1345,28.36
