Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Representative in Congress - District 6,Michael Waltz,REP,0040,219,950,585,1754,70.58
Representative in Congress - District 6,Michael Waltz,REP,1000,34,68,268,370,85.06
Representative in Congress - District 6,Michael Waltz,REP,1010,70,159,455,684,78.80
Representative in Congress - District 6,Michael Waltz,REP,1020,78,337,482,897,78.27
Representative in Congress - District 6,Michael Waltz,REP,1021,-,-,-,38,84.44
Representative in Congress - District 6,Michael Waltz,REP,1030,167,568,580,1315,81.58
Representative in Congress - District 6,Michael Waltz,REP,1040,148,381,810,1339,83.64
Representative in Congress - District 6,Michael Waltz,REP,1050,214,806,701,1721,79.02
Representative in Congress - District 6,Michael Waltz,REP,1060,132,657,381,1170,78.47
Representative in Congress - District 6,Michael Waltz,REP,1070,187,533,286,1006,75.07
Representative in Congress - District 6,Michael Waltz,REP,1080,184,633,449,1266,67.99
Representative in Congress - District 6,Michael Waltz,REP,1090,236,713,545,1494,68.41
Representative in Congress - District 6,Michael Waltz,REP,1100,202,741,422,1365,71.50
Representative in Congress - District 6,Michael Waltz,REP,1110,259,886,558,1703,68.50
Representative in Congress - District 6,Michael Waltz,REP,3000,119,302,608,1029,79.77
Representative in Congress - District 6,Michael Waltz,REP,3010,148,628,539,1315,78.23
Representative in Congress - District 6,Michael Waltz,REP,3020,318,1403,867,2588,73.52
Representative in Congress - District 6,Michael Waltz,REP,3030,490,955,773,2218,71.76
Representative in Congress - District 6,Michael Waltz,REP,3040,187,558,545,1290,72.43
Representative in Congress - District 6,Michael Waltz,REP,3050,851,3284,428,4563,68.89
Representative in Congress - District 6,Michael Waltz,REP,3060,172,1208,782,2162,72.92
Representative in Congress - District 6,Michael Waltz,REP,3070,149,943,562,1654,75.32
Representative in Congress - District 6,Michael Waltz,REP,3080,171,505,359,1035,70.22
Representative in Congress - District 6,Michael Waltz,REP,3090,203,813,371,1387,73.54
Representative in Congress - District 6,Michael Waltz,REP,3110,244,1074,465,1783,73.37
Representative in Congress - District 6,Michael Waltz,REP,3120,93,544,356,993,78.75
Representative in Congress - District 6,Michael Waltz,REP,3130,176,873,662,1711,60.80
Representative in Congress - District 6,Michael Waltz,REP,3140,161,571,408,1140,74.12
Representative in Congress - District 6,Michael Waltz,REP,3150,153,441,405,999,69.62
Representative in Congress - District 6,Michael Waltz,REP,3170,82,244,229,555,72.08
Representative in Congress - District 6,Michael Waltz,REP,3180,118,380,399,897,67.80
Representative in Congress - District 6,Michael Waltz,REP,3190,110,637,192,939,75.66
Representative in Congress - District 6,Michael Waltz,REP,3200,121,743,433,1297,77.71
Representative in Congress - District 6,Michael Waltz,REP,3210,102,681,395,1178,79.38
Representative in Congress - District 6,Michael Waltz,REP,3220,177,833,759,1769,77.25
Representative in Congress - District 6,Michael Waltz,REP,3230,129,510,463,1102,74.16
Representative in Congress - District 6,Michael Waltz,REP,3240,555,1654,761,2970,70.11
Representative in Congress - District 6,Michael Waltz,REP,3250,231,1027,687,1945,73.62
Representative in Congress - District 6,Michael Waltz,REP,3260,143,857,507,1507,70.16
Representative in Congress - District 6,Michael Waltz,REP,3270,285,1350,609,2244,54.81
Representative in Congress - District 6,Michael Waltz,REP,3280,78,352,236,666,55.50
Representative in Congress - District 6,Michael Waltz,REP,3290,233,1020,652,1905,58.53
Representative in Congress - District 6,Michael Waltz,REP,3300,219,883,761,1863,63.20
Representative in Congress - District 6,Michael Waltz,REP,3310,124,489,439,1052,67.01
Representative in Congress - District 6,Michael Waltz,REP,3320,165,409,358,932,70.02
Representative in Congress - District 6,James David Stockton III,DEM,0040,223,316,189,728,29.30
Representative in Congress - District 6,James David Stockton III,DEM,1000,-,-,-,65,14.94
Representative in Congress - District 6,James David Stockton III,DEM,1010,-,-,-,184,21.20
Representative in Congress - District 6,James David Stockton III,DEM,1020,63,53,130,246,21.47
Representative in Congress - District 6,James David Stockton III,DEM,1021,-,-,-,7,15.56
Representative in Congress - District 6,James David Stockton III,DEM,1030,108,87,99,294,18.24
Representative in Congress - District 6,James David Stockton III,DEM,1040,84,63,113,260,16.24
Representative in Congress - District 6,James David Stockton III,DEM,1050,128,167,158,453,20.80
Representative in Congress - District 6,James David Stockton III,DEM,1060,118,129,73,320,21.46
Representative in Congress - District 6,James David Stockton III,DEM,1070,113,154,65,332,24.78
Representative in Congress - District 6,James David Stockton III,DEM,1080,183,243,167,593,31.85
Representative in Congress - District 6,James David Stockton III,DEM,1090,214,270,203,687,31.46
Representative in Congress - District 6,James David Stockton III,DEM,1100,173,201,163,537,28.13
Representative in Congress - District 6,James David Stockton III,DEM,1110,191,357,233,781,31.42
Representative in Congress - District 6,James David Stockton III,DEM,3000,95,68,98,261,20.23
Representative in Congress - District 6,James David Stockton III,DEM,3010,110,117,136,363,21.59
Representative in Congress - District 6,James David Stockton III,DEM,3020,246,417,263,926,26.31
Representative in Congress - District 6,James David Stockton III,DEM,3030,396,225,251,872,28.21
Representative in Congress - District 6,James David Stockton III,DEM,3040,162,148,180,490,27.51
Representative in Congress - District 6,James David Stockton III,DEM,3050,928,994,136,2058,31.07
Representative in Congress - District 6,James David Stockton III,DEM,3060,204,346,251,801,27.02
Representative in Congress - District 6,James David Stockton III,DEM,3070,136,256,146,538,24.50
Representative in Congress - District 6,James David Stockton III,DEM,3080,157,140,138,435,29.51
Representative in Congress - District 6,James David Stockton III,DEM,3090,159,210,127,496,26.30
Representative in Congress - District 6,James David Stockton III,DEM,3110,230,265,148,643,26.46
Representative in Congress - District 6,James David Stockton III,DEM,3120,68,132,66,266,21.09
Representative in Congress - District 6,James David Stockton III,DEM,3130,249,465,382,1096,38.95
Representative in Congress - District 6,James David Stockton III,DEM,3140,127,149,121,397,25.81
Representative in Congress - District 6,James David Stockton III,DEM,3150,109,156,171,436,30.38
Representative in Congress - District 6,James David Stockton III,DEM,3170,67,75,72,214,27.79
Representative in Congress - District 6,James David Stockton III,DEM,3180,116,143,163,422,31.90
Representative in Congress - District 6,James David Stockton III,DEM,3190,91,146,60,297,23.93
Representative in Congress - District 6,James David Stockton III,DEM,3200,126,165,79,370,22.17
Representative in Congress - District 6,James David Stockton III,DEM,3210,83,139,79,301,20.28
Representative in Congress - District 6,James David Stockton III,DEM,3220,139,206,173,518,22.62
Representative in Congress - District 6,James David Stockton III,DEM,3230,96,156,129,381,25.64
Representative in Congress - District 6,James David Stockton III,DEM,3240,576,441,245,1262,29.79
Representative in Congress - District 6,James David Stockton III,DEM,3250,182,324,186,692,26.19
Representative in Congress - District 6,James David Stockton III,DEM,3260,193,273,172,638,29.70
Representative in Congress - District 6,James David Stockton III,DEM,3270,553,899,389,1841,44.97
Representative in Congress - District 6,James David Stockton III,DEM,3280,137,234,162,533,44.42
Representative in Congress - District 6,James David Stockton III,DEM,3290,361,602,383,1346,41.35
Representative in Congress - District 6,James David Stockton III,DEM,3300,298,460,322,1080,36.64
Representative in Congress - District 6,James David Stockton III,DEM,3310,162,184,169,515,32.80
