Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"Representative in Congress, District 6",Michael Waltz,REP,01,0,54,229,94,377,60.42
"Representative in Congress, District 6",Michael Waltz,REP,10,-,-,-,-,1843,81.55
"Representative in Congress, District 6",Michael Waltz,REP,11,-,-,-,-,1779,76.09
"Representative in Congress, District 6",Michael Waltz,REP,12,0,170,767,692,1629,87.25
"Representative in Congress, District 6",Michael Waltz,REP,13,0,56,305,469,830,90.91
"Representative in Congress, District 6",Michael Waltz,REP,14,0,110,485,585,1180,78.51
"Representative in Congress, District 6",Michael Waltz,REP,15,-,-,-,-,1415,71.61
"Representative in Congress, District 6",Michael Waltz,REP,16,0,43,143,115,301,58.56
"Representative in Congress, District 6",Michael Waltz,REP,17,0,176,672,484,1332,69.34
"Representative in Congress, District 6",Michael Waltz,REP,18,0,33,283,96,412,70.79
"Representative in Congress, District 6",Michael Waltz,REP,19,-,-,-,-,59,76.62
"Representative in Congress, District 6",Michael Waltz,REP,02,0,75,319,179,573,65.79
"Representative in Congress, District 6",Michael Waltz,REP,20,-,-,-,-,903,79.35
"Representative in Congress, District 6",Michael Waltz,REP,21,0,81,448,247,776,75.34
"Representative in Congress, District 6",Michael Waltz,REP,22,-,-,-,-,1323,77.78
"Representative in Congress, District 6",Michael Waltz,REP,23,0,76,512,300,888,84.57
"Representative in Congress, District 6",Michael Waltz,REP,24,0,148,793,502,1443,88.10
"Representative in Congress, District 6",Michael Waltz,REP,25,-,-,-,-,1264,79.85
"Representative in Congress, District 6",Michael Waltz,REP,26,-,-,-,-,161,89.94
"Representative in Congress, District 6",Michael Waltz,REP,27,0,78,447,164,689,64.27
"Representative in Congress, District 6",Michael Waltz,REP,28,-,-,-,-,34,12.64
"Representative in Congress, District 6",Michael Waltz,REP,29,0,34,152,94,280,65.88
"Representative in Congress, District 6",Michael Waltz,REP,03,0,124,486,405,1015,79.36
"Representative in Congress, District 6",Michael Waltz,REP,30,0,36,189,95,320,88.40
"Representative in Congress, District 6",Michael Waltz,REP,31,-,-,-,-,35,34.31
"Representative in Congress, District 6",Michael Waltz,REP,32,0,49,187,115,351,57.17
"Representative in Congress, District 6",Michael Waltz,REP,33,-,-,-,-,149,22.41
"Representative in Congress, District 6",Michael Waltz,REP,34,0,60,130,94,284,45.59
"Representative in Congress, District 6",Michael Waltz,REP,35,-,-,-,-,125,80.13
"Representative in Congress, District 6",Michael Waltz,REP,36,-,-,-,-,236,50.75
"Representative in Congress, District 6",Michael Waltz,REP,37,-,-,-,-,567,55.48
"Representative in Congress, District 6",Michael Waltz,REP,04,0,50,136,186,372,69.79
"Representative in Congress, District 6",Michael Waltz,REP,05,0,78,223,218,519,81.09
"Representative in Congress, District 6",Michael Waltz,REP,06,0,33,111,96,240,75.24
"Representative in Congress, District 6",Michael Waltz,REP,07,-,-,-,-,991,79.22
"Representative in Congress, District 6",Michael Waltz,REP,08,0,106,357,257,720,78.69
"Representative in Congress, District 6",Michael Waltz,REP,09,0,73,242,272,587,79.43
"Representative in Congress, District 6",James David Stockton III,DEM,01,0,42,134,71,247,39.58
"Representative in Congress, District 6",James David Stockton III,DEM,10,0,124,183,108,415,18.36
"Representative in Congress, District 6",James David Stockton III,DEM,11,0,127,309,120,556,23.78
"Representative in Congress, District 6",James David Stockton III,DEM,12,0,74,79,82,235,12.59
"Representative in Congress, District 6",James David Stockton III,DEM,13,-,-,-,-,83,9.09
"Representative in Congress, District 6",James David Stockton III,DEM,14,0,96,105,121,322,21.42
"Representative in Congress, District 6",James David Stockton III,DEM,15,0,178,202,179,559,28.29
"Representative in Congress, District 6",James David Stockton III,DEM,16,0,47,81,84,212,41.25
