Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Representative in Congress District 6,Michael Waltz,REP,212,59,358,96,513,86.51
Representative in Congress District 6,Michael Waltz,REP,213,204,1898,782,2884,74.18
Representative in Congress District 6,Michael Waltz,REP,303,-,-,-,103,78.03
Representative in Congress District 6,Michael Waltz,REP,304,246,928,306,1480,70.44
Representative in Congress District 6,Michael Waltz,REP,305,157,1391,558,2106,70.51
Representative in Congress District 6,Michael Waltz,REP,306,149,868,337,1354,65.47
Representative in Congress District 6,Michael Waltz,REP,307,-,-,-,25,65.79
Representative in Congress District 6,Michael Waltz,REP,308,64,358,72,494,67.39
Representative in Congress District 6,Michael Waltz,REP,309,423,2094,754,3271,62.13
Representative in Congress District 6,Michael Waltz,REP,310,363,2324,510,3197,68.55
Representative in Congress District 6,Michael Waltz,REP,311,453,1888,507,2848,64.10
Representative in Congress District 6,James David Stockton III,DEM,212,-,-,-,80,13.49
Representative in Congress District 6,James David Stockton III,DEM,213,243,549,211,1003,25.80
Representative in Congress District 6,James David Stockton III,DEM,303,-,-,-,28,21.21
Representative in Congress District 6,James David Stockton III,DEM,304,220,324,71,615,29.27
Representative in Congress District 6,James David Stockton III,DEM,305,232,474,171,877,29.36
Representative in Congress District 6,James David Stockton III,DEM,306,203,372,134,709,34.28
Representative in Congress District 6,James David Stockton III,DEM,307,-,-,-,13,34.21
Representative in Congress District 6,James David Stockton III,DEM,308,-,-,-,238,32.47
Representative in Congress District 6,James David Stockton III,DEM,309,647,983,355,1985,37.70
Representative in Congress District 6,James David Stockton III,DEM,310,479,811,166,1456,31.22
Representative in Congress District 6,James David Stockton III,DEM,311,576,816,200,1592,35.83
Representative in Congress District 6,WRITE-IN,,212,0,0,0,0,0.00
Representative in Congress District 6,WRITE-IN,,213,-,-,-,1,0.03
Representative in Congress District 6,WRITE-IN,,303,-,-,-,1,0.76
Representative in Congress District 6,WRITE-IN,,304,-,-,-,6,0.29
Representative in Congress District 6,WRITE-IN,,305,-,-,-,4,0.13
Representative in Congress District 6,WRITE-IN,,306,-,-,-,5,0.24
Representative in Congress District 6,WRITE-IN,,307,0,0,0,0,0.00
Representative in Congress District 6,WRITE-IN,,308,-,-,-,1,0.14
Representative in Congress District 6,WRITE-IN,,309,-,-,-,9,0.17
Representative in Congress District 6,WRITE-IN,,310,-,-,-,11,0.24
Representative in Congress District 6,WRITE-IN,,311,-,-,-,3,0.07
