Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Rep in Congress District 6,James David Stockton III,DEM,101,61,35,70,166,19.19
Rep in Congress District 6,Michael Waltz,REP,101,134,196,368,698,80.69
Rep in Congress District 6,Write-in,,101,-,-,-,1,0.12
Rep in Congress District 6,James David Stockton III,DEM,102,-,-,-,132,23
Rep in Congress District 6,Michael Waltz,REP,102,73,75,292,440,76.66
Rep in Congress District 6,Write-in,,102,-,-,-,2,0.35
Rep in Congress District 6,James David Stockton III,DEM,103,76,37,71,184,18.18
Rep in Congress District 6,Michael Waltz,REP,103,151,264,412,827,81.72
Rep in Congress District 6,Write-in,,103,-,-,-,1,0.1
Rep in Congress District 6,James David Stockton III,DEM,104,465,289,234,988,29.32
Rep in Congress District 6,Michael Waltz,REP,104,545,1050,786,2381,70.65
Rep in Congress District 6,Write-in,,104,-,-,-,1,0.03
Rep in Congress District 6,James David Stockton III,DEM,105,-,-,-,97,21.85
Rep in Congress District 6,Michael Waltz,REP,105,82,177,88,347,78.15
Rep in Congress District 6,Write-in,,105,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,201,235,140,140,515,28.52
Rep in Congress District 6,Michael Waltz,REP,201,323,485,479,1287,71.26
Rep in Congress District 6,Write-in,,201,-,-,-,4,0.22
Rep in Congress District 6,James David Stockton III,DEM,202,-,-,-,48,22.02
Rep in Congress District 6,Michael Waltz,REP,202,53,73,43,169,77.52
Rep in Congress District 6,Write-in,,202,-,-,-,1,0.46
Rep in Congress District 6,James David Stockton III,DEM,203,-,-,-,106,23.61
Rep in Congress District 6,Michael Waltz,REP,203,80,142,120,342,76.17
Rep in Congress District 6,Write-in,,203,-,-,-,1,0.22
Rep in Congress District 6,James David Stockton III,DEM,204,223,212,187,622,29.83
Rep in Congress District 6,Michael Waltz,REP,204,298,656,506,1460,70.02
Rep in Congress District 6,Write-in,,204,-,-,-,3,0.14
Rep in Congress District 6,James David Stockton III,DEM,205,593,422,257,1272,31.18
Rep in Congress District 6,Michael Waltz,REP,205,761,1308,732,2801,68.65
Rep in Congress District 6,Write-in,,205,-,-,-,7,0.17
Rep in Congress District 6,James David Stockton III,DEM,206,278,211,175,664,34.19
Rep in Congress District 6,Michael Waltz,REP,206,299,551,424,1274,65.6
Rep in Congress District 6,Write-in,,206,-,-,-,4,0.21
Rep in Congress District 6,James David Stockton III,DEM,207,330,324,146,800,36.5
Rep in Congress District 6,Michael Waltz,REP,207,328,724,337,1389,63.37
Rep in Congress District 6,Write-in,,207,-,-,-,3,0.14
Rep in Congress District 6,James David Stockton III,DEM,208,577,459,304,1340,40.04
Rep in Congress District 6,Michael Waltz,REP,208,449,996,555,2000,59.76
Rep in Congress District 6,Write-in,,208,-,-,-,7,0.21
