Precinct Name,Contest,Candidate,Total Votes,Election Day Votes,Early Votes,Mail Votes
101,"Representative in Congress, District 6",Michael Waltz,"1,562",343,903,316
101,"Representative in Congress, District 6",James David Stockton III,725,191,276,258
101,"Representative in Congress, District 6",Write-In Totals,2,1,1,0
102,"Representative in Congress, District 6",Michael Waltz,"1,783",777,777,229
102,"Representative in Congress, District 6",James David Stockton III,337,107,107,123
102,"Representative in Congress, District 6",Write-In Totals,1,1,0,0
103,"Representative in Congress, District 6",Michael Waltz,"2,448",391,"1,317",740
103,"Representative in Congress, District 6",James David Stockton III,908,80,275,553
103,"Representative in Congress, District 6",Write-In Totals,1,1,0,0
201,"Representative in Congress, District 6",Michael Waltz,"2,392",416,"1,447",529
201,"Representative in Congress, District 6",James David Stockton III,"1,068",124,412,532
201,"Representative in Congress, District 6",Write-In Totals,0,0,0,0
202,"Representative in Congress, District 6",Michael Waltz,"1,110",211,658,241
202,"Representative in Congress, District 6",James David Stockton III,604,66,259,279
202,"Representative in Congress, District 6",Write-In Totals,2,2,0,0
401,"Representative in Congress, District 6",Michael Waltz,"3,746",480,"2,210","1,056"
401,"Representative in Congress, District 6",James David Stockton III,"1,469",164,526,779
401,"Representative in Congress, District 6",Write-In Totals,6,2,2,2
501,"Representative in Congress, District 6",Michael Waltz,"4,715","1,034","2,872",809
501,"Representative in Congress, District 6",James David Stockton III,"2,392",420,"1,059",913
501,"Representative in Congress, District 6",Write-In Totals,7,3,1,3
502,"Representative in Congress, District 6",Michael Waltz,"2,028",290,"1,244",494
502,"Representative in Congress, District 6",James David Stockton III,"1,117",132,450,535
502,"Representative in Congress, District 6",Write-In Totals,1,1,0,0
503,"Representative in Congress, District 6",Michael Waltz,"1,677",430,991,256
503,"Representative in Congress, District 6",James David Stockton III,"1,157",257,502,398
503,"Representative in Congress, District 6",Write-In Totals,2,0,1,1
504,"Representative in Congress, District 6",Michael Waltz,"1,688",405,"1,000",283
504,"Representative in Congress, District 6",James David Stockton III,"1,183",247,529,407
504,"Representative in Congress, District 6",Write-In Totals,4,0,0,4
505,"Representative in Congress, District 6",Michael Waltz,"2,701",501,"1,675",525
505,"Representative in Congress, District 6",James David Stockton III,"1,591",224,662,705
505,"Representative in Congress, District 6",Write-In Totals,1,0,0,1
506,"Representative in Congress, District 6",Michael Waltz,"4,057",902,"2,383",772
506,"Representative in Congress, District 6",James David Stockton III,"2,611",502,"1,143",966
506,"Representative in Congress, District 6",Write-In Totals,6,0,3,3
507,"Representative in Congress, District 6",Michael Waltz,"2,174",438,"1,369",367
507,"Representative in Congress, District 6",James David Stockton III,"1,375",190,621,564
507,"Representative in Congress, District 6",Write-In Totals,1,0,0,1
508,"Representative in Congress, District 6",Michael Waltz,"2,153",408,"1,320",425
508,"Representative in Congress, District 6",James David Stockton III,"1,377",201,520,656
508,"Representative in Congress, District 6",Write-In Totals,3,1,1,1
509,"Representative in Congress, District 6",Michael Waltz,"2,718",633,"1,639",446
509,"Representative in Congress, District 6",James David Stockton III,"1,555",280,704,571
509,"Representative in Congress, District 6",Write-In Totals,9,4,3,2
510,"Representative in Congress, District 6",Michael Waltz,"2,354",527,"1,494",333
510,"Representative in Congress, District 6",James David Stockton III,"1,247",208,568,471
510,"Representative in Congress, District 6",Write-In Totals,2,1,1,0
511,"Representative in Congress, District 6",Michael Waltz,"2,730",552,"1,585",593
511,"Representative in Congress, District 6",James David Stockton III,"1,295",219,476,600
511,"Representative in Congress, District 6",Write-In Totals,6,6,0,0
512,"Representative in Congress, District 6",Michael Waltz,"2,288",406,"1,456",426
512,"Representative in Congress, District 6",James David Stockton III,"1,072",141,446,485
512,"Representative in Congress, District 6",Write-In Totals,1,0,0,1
513,"Representative in Congress, District 6",Michael Waltz,"3,091",410,"2,038",643
513,"Representative in Congress, District 6",James David Stockton III,"1,519",162,649,708
513,"Representative in Congress, District 6",Write-In Totals,3,1,2,0
514,"Representative in Congress, District 6",Michael Waltz,"1,732",349,948,435
514,"Representative in Congress, District 6",James David Stockton III,852,125,258,469
514,"Representative in Congress, District 6",Write-In Totals,1,1,0,0
515,"Representative in Congress, District 6",Michael Waltz,"1,932",369,"1,085",478
515,"Representative in Congress, District 6",James David Stockton III,790,108,268,414
515,"Representative in Congress, District 6",Write-In Totals,0,0,0,0
